Type info; 	 message: Customer 1 was inserted
Type info; 	 message: Customer 1 was inserted
Type info; 	 message: Product 1 was inserted
Type info; 	 message: Product 2 was inserted
Type info; 	 message: Order Item 1 was inserted
Type info; 	 message: Order Item 2 was inserted
Type info; 	 message: Order 1 was inserted
Type info; 	 message: Order Item 3 was inserted
Type info; 	 message: Order 2 was inserted
Type info; 	 message: Product 2 was deleted
Type info; 	 message: Customer 15ed812a-6407-4b2e-9014-33f99f527e68 was inserted
Type info; 	 message: Product c86ae5be-3d29-4844-ad93-fc13bc548e09 was inserted
Type info; 	 message: Product 56cad254-bef9-4979-bce6-db6307a2f158 was inserted
Type info; 	 message: Order Item 6721da56-8a01-49f3-bc13-107d959d8b5f was inserted
Type info; 	 message: Order Item f5e1b5f0-ebf5-4e7f-9478-0e1492e6267b was inserted
Type info; 	 message: Order 184fc751-f7da-4ba3-b404-5d660d7935cc was inserted
Type info; 	 message: Order Item 57e3a835-bed0-43ba-aa71-797e0390b5c3 was inserted
Type info; 	 message: Order fe65136c-ec6f-4624-8e88-042385698acc was inserted
Type info; 	 message: Product fe65136c-ec6f-4624-8e88-042385698acc was deleted
Type info; 	 message: Customer 5181ceb9-b2e7-46dc-bd73-18def9aacd64 was inserted
Type info; 	 message: Product 40dd26d6-46f6-4a02-8ae1-3792d61ef2c4 was inserted
Type info; 	 message: Product 7ebb08f3-d781-4b12-bf86-4a50a28c4a49 was inserted
Type info; 	 message: Order Item 134bc884-9203-4666-833b-c07310004575 was inserted
Type info; 	 message: Order Item 2af0d711-d169-4391-b1c9-74788368fc6e was inserted
Type info; 	 message: Order 564990f8-da33-4a7f-90a7-48bba93ad1ea was inserted
Type info; 	 message: Order Item 0e623ca5-34fa-426f-b5fc-6a1dd72414f5 was inserted
Type info; 	 message: Order 0208a67d-e89b-4a57-8214-834e1bd54dc3 was inserted
Type info; 	 message: Order 0208a67d-e89b-4a57-8214-834e1bd54dc3 was deleted
Type info; 	 message: Customer d302190d-ffd8-4fb2-85c2-8930023a1135 was inserted
Type info; 	 message: Product e2ebeaee-aaef-4d22-8f96-4a951fb3b064 was inserted
Type info; 	 message: Product 54e105da-78cc-4d0a-9223-c6866f70777c was inserted
Type info; 	 message: Order Item 8e77342c-c4a4-44b5-8061-e0cf6cde4c54 was inserted
Type info; 	 message: Order Item 93e6739c-290e-4039-89f5-bc9ab72d6fd4 was inserted
Type info; 	 message: Order db3e9a71-a822-4761-8df1-5023afdec657 was inserted
Type info; 	 message: Order Item 2230a115-f38e-4457-adb4-3329fb59e4d8 was inserted
Type info; 	 message: Order 87f37f96-e9b9-4784-a4fa-c6caf3f78572 was inserted
Type info; 	 message: Order 87f37f96-e9b9-4784-a4fa-c6caf3f78572 was deleted
